id,gh_post_gps,area_id
200,BS-9415-5371,25
201,BS-1581-3366,29
202,BS-5374-3608,18
203,BS-3196-1802,32
204,BS-1201-2672,18
205,BS-1679-5907,37
206,BS-7494-0425,37
207,BS-5477-2656,30
208,BS-6191-5170,31
209,BS-2326-2546,34
210,BS-3276-1120,18
211,BS-3395-5030,4
212,BS-2436-3383,19
213,BS-3012-7453,14
214,BS-5788-8279,10
215,BS-7714-0717,31
216,BS-2178-1488,24
217,BS-7822-4420,31
218,BS-6095-5687,5
219,BS-8674-8256,38
220,BS-6690-4765,15
221,BS-1907-6737,26
222,BS-1546-0858,30
223,BS-9783-1086,17
224,BS-9762-6310,19
225,BS-5818-6129,31
226,BS-3509-6597,1
227,BS-5397-2494,15
228,BS-9665-7112,29
229,BS-1670-5145,30
230,BS-5136-6614,31
231,BS-1280-4545,3
232,BS-2363-9731,34
233,BS-6145-7016,27
234,BS-1174-2165,20
235,BS-4374-1572,28
236,BS-5948-6194,9
237,BS-7581-3176,2
238,BS-3859-4928,20
239,BS-3742-3455,30
240,BS-5587-1621,7
241,BS-4269-4551,27
242,BS-2745-8943,31
243,BS-3808-4978,30
244,BS-6173-2732,16
245,BS-3324-5530,38
246,BS-5830-8560,5
247,BS-7194-9964,10
248,BS-5769-0414,23
249,BS-2513-4546,1
250,BS-5267-6024,15
251,BS-2434-6231,37
252,BS-2600-3558,24
253,BS-6406-6507,18
254,BS-2247-3829,11
255,BS-9456-1594,30
256,BS-6191-0450,4
257,BS-4137-4549,20
258,BS-7420-7327,37
259,BS-1291-8643,1
260,BS-7650-6005,20
261,BS-5019-4011,30
262,BS-0876-1207,33
263,BS-9613-6632,7
264,BS-6700-4039,14
265,BS-5875-4303,5
266,BS-5712-7325,1
267,BS-4471-4504,16
268,BS-2265-3445,37
269,BS-0945-5049,2
270,BS-6071-1641,19
271,BS-0707-3381,10
272,BS-3801-8527,29
273,BS-5681-7679,14
274,BS-2123-6496,25
275,BS-0145-5637,32
276,BS-7405-2850,17
277,BS-1650-1677,37
278,BS-3951-2422,14
279,BS-1916-7533,12
280,BS-9274-3248,6
281,BS-0950-4874,14
282,BS-2893-6063,29
283,BS-2085-6537,16
284,BS-7499-9906,13
285,BS-2005-5500,36
286,BS-4343-3056,16
287,BS-0159-8485,4
288,BS-4970-4964,18
289,BS-8588-6764,9
290,BS-6109-0753,12
291,BS-4973-4114,31
292,BS-9802-5743,19
293,BS-7949-6667,11
294,BS-6162-3915,22
295,BS-1116-8054,20
296,BS-7832-1676,38
297,BS-5031-8177,35
298,BS-3118-9966,9
299,BS-1102-1215,5
300,BS-9932-2267,28
301,BS-0555-8421,18
302,BS-1375-8391,22
303,BS-1775-7913,1
304,BS-2914-2978,28
305,BS-9328-8161,8
306,BS-8801-9678,10
307,BS-0834-9606,23
308,BS-0887-9910,19
309,BS-8582-7018,19
310,BS-8831-7049,17
311,BS-2300-9183,10
312,BS-6546-3661,33
313,BS-0384-5904,31
314,BS-9159-5515,21
315,BS-1163-1118,25
316,BS-1149-9251,22
317,BS-1713-4319,37
318,BS-4260-1748,36
319,BS-0137-8722,15
320,BS-4426-4264,35
321,BS-3606-8898,38
322,BS-9983-3762,34
323,BS-0564-3180,13
324,BS-4411-4674,26
325,BS-1562-9477,10
326,BS-8712-9821,4
327,BS-0918-0391,25
328,BS-4384-2204,14
329,BS-9541-9036,13
330,BS-3005-6453,27
331,BS-3877-8229,7
332,BS-9926-5479,34
333,BS-5468-9757,34
334,BS-4701-3625,4
335,BS-9458-6214,25
336,BS-2745-0061,18
337,BS-3778-7772,12
338,BS-3891-1267,28
339,BS-1230-9684,2
340,BS-0128-9454,32
341,BS-5305-3834,4
342,BS-6599-1731,6
343,BS-9102-7244,38
344,BS-2956-3004,13
345,BS-8495-9144,13
346,BS-0201-3278,15
347,BS-0658-0397,33
348,BS-4619-5365,29
349,BS-8444-5959,1
350,BS-8274-1925,21
351,BS-6169-6749,10
352,BS-0562-5449,31
353,BS-3678-7331,22
354,BS-9392-8346,37
355,BS-5607-6205,19
356,BS-7011-7810,34
357,BS-2891-4616,13
358,BS-7931-6503,12
359,BS-4027-5597,35
360,BS-8673-6299,30
361,BS-8469-9367,18
362,BS-5643-7319,10
363,BS-5717-1451,33
364,BS-1747-6127,18
365,BS-7689-3899,13
366,BS-9748-1486,28
367,BS-5406-6538,35
368,BS-8138-5004,20
369,BS-2778-5514,17
370,BS-9573-1068,14
371,BS-0072-5611,37
372,BS-5790-6623,36
373,BS-4438-5499,25
374,BS-3873-4353,3
375,BS-2155-4536,23
376,BS-0368-9339,6
377,BS-3252-9353,5
378,BS-9083-7438,17
379,BS-0135-5515,14
380,BS-7778-3792,14
381,BS-8531-4304,25
382,BS-1786-2194,6
383,BS-2262-0682,9
384,BS-9736-5460,17
385,BS-2713-0015,15
386,BS-1647-4918,38
387,BS-6728-1244,3
388,BS-3084-7528,31
389,BS-7479-7041,24
390,BS-8696-6501,25
391,BS-4161-2407,17
392,BS-2284-7057,36
393,BS-8491-2559,12
394,BS-2459-3815,22
395,BS-6496-9315,38
396,BS-0367-6839,3
397,BS-3555-5732,25
398,BS-3697-4570,2
399,BS-7819-2591,4
400,BS-4551-8080,24
401,BS-3961-4785,24
402,BS-5350-8946,15
403,BS-8570-9415,24
404,BS-6528-2321,15
405,BS-6410-0858,13
406,BS-9714-5994,22
407,BS-4122-0915,18
408,BS-4645-5032,23
409,BS-6100-2580,19
410,BS-1004-1040,19
411,BS-9373-4215,3
412,BS-1534-1958,20
413,BS-7359-6548,31
414,BS-1762-3526,31
415,BS-8747-7631,11
416,BS-6760-9351,26
417,BS-5096-1198,13
418,BS-9319-5050,16
419,BS-9780-1689,35
420,BS-9787-8946,5
421,BS-9589-9677,23
422,BS-4112-8275,30
423,BS-1254-4803,1
424,BS-2831-7923,26
425,BS-6113-4744,25
426,BS-6389-2539,16
427,BS-7586-1382,38
428,BS-7857-7257,6
429,BS-6977-9233,4
430,BS-8003-8183,17
431,BS-2031-8027,9
432,BS-9037-1746,11
433,BS-2724-3697,30
434,BS-9109-1000,3
435,BS-1134-4031,4
436,BS-1240-0431,11
437,BS-7922-2465,16
438,BS-4171-7578,11
439,BS-1905-4993,30
440,BS-2182-1654,5
441,BS-4164-8916,7
442,BS-4257-5449,13
443,BS-4773-8520,5
444,BS-6562-8355,16
445,BS-0834-1464,37
446,BS-7081-2529,2
447,BS-4376-9858,31
448,BS-7863-9711,31
449,BS-4441-4729,27
450,BS-5957-2938,4
451,BS-7588-2247,23
452,BS-5098-4220,30
453,BS-1221-9895,10
454,BS-6705-6265,28
455,BS-2097-5008,17
456,BS-4763-8894,31
457,BS-9532-0361,14
458,BS-7706-6643,29
459,BS-7600-7627,34
460,BS-2481-3687,27
461,BS-0843-9501,16
462,BS-7547-9065,31
463,BS-4950-8797,25
464,BS-4260-2814,11
465,BS-1051-9858,26
466,BS-8988-0390,18
467,BS-4415-0587,25
468,BS-3084-6421,36
469,BS-1239-4142,27
470,BS-9747-6514,7
471,BS-3222-6136,1
472,BS-7720-4783,12
473,BS-1078-4069,31
474,BS-2589-0199,27
475,BS-7966-3155,19
476,BS-5199-9987,32
477,BS-2832-5914,7
478,BS-7595-2876,15
479,BS-1609-8021,11
480,BS-5533-3635,29
481,BS-2744-8872,4
482,BS-0100-8271,10
483,BS-6709-0125,9
484,BS-7600-4767,2
485,BS-9879-1396,12
486,BS-8189-1770,19
487,BS-0911-1446,12
488,BS-7665-3730,38
489,BS-2973-5413,23
490,BS-4677-5148,1
491,BS-5337-9030,21
492,BS-7046-9806,18
493,BS-6720-4051,19
494,BS-7031-4512,13
495,BS-8272-7542,20
496,BS-9841-0682,35
497,BS-8491-5550,16
498,BS-5121-1537,33
499,BS-1274-2912,10
500,BS-1762-3091,20
501,BS-6141-2331,14
502,BS-7850-8316,21
503,BS-2065-3390,14
504,BS-8587-8554,3
505,BS-8160-5948,24
506,BS-3134-5777,27
507,BS-6330-5833,19
508,BS-1421-2936,19
509,BS-2482-8832,23
510,BS-2251-5991,25
511,BS-9191-3650,30
512,BS-4056-6746,22
513,BS-0304-1364,11
514,BS-4821-9736,37
515,BS-7294-0379,9
516,BS-7991-2862,13
517,BS-1059-6442,1
518,BS-2825-1103,7
519,BS-9908-6977,3
520,BS-9713-4456,3
521,BS-9797-3493,13
522,BS-4740-3684,12
523,BS-4823-0818,1
524,BS-3889-9642,35
525,BS-4375-7263,16
526,BS-5330-1427,10
527,BS-8834-0394,8
528,BS-9262-3999,18
529,BS-2252-7429,27
530,BS-0440-3529,14
531,BS-6595-4070,37
532,BS-3518-9980,8
533,BS-5992-7581,21
534,BS-5691-2809,17
535,BS-5131-9062,10
536,BS-9398-3100,29
537,BS-9528-3020,15
538,BS-6879-9257,37
539,BS-3517-8573,19
540,BS-1229-7311,24
541,BS-1789-3253,25
542,BS-9201-5109,13
543,BS-1172-2180,11
544,BS-5899-5825,17
545,BS-1385-9413,31
546,BS-2288-5977,35
547,BS-3418-6819,19
548,BS-0822-4532,24
549,BS-7210-3791,5
550,BS-1943-3275,1
551,BS-6430-2360,12
552,BS-3882-8647,33
553,BS-6677-3322,34
554,BS-6422-5492,5
555,BS-4710-7635,26
556,BS-3871-3588,14
557,BS-1978-3614,25
558,BS-2345-8099,8
559,BS-1573-3494,36
560,BS-6752-9315,18
561,BS-5982-8068,6
562,BS-8654-9647,32
563,BS-4563-5416,6
564,BS-1383-2894,17
565,BS-4741-1411,6
566,BS-6740-0539,12
567,BS-7645-6239,24
568,BS-7826-9046,34
569,BS-1959-5817,20
570,BS-6074-3713,33
571,BS-7241-6041,3
572,BS-6620-4656,15
573,BS-5789-3412,12
574,BS-1060-5009,37
575,BS-0659-4987,32
576,BS-2415-7710,31
577,BS-0237-1324,6
578,BS-5242-7796,23
579,BS-4783-6515,31
580,BS-6043-6201,32
581,BS-6068-3492,18
582,BS-9809-8274,21
583,BS-6392-2929,22
584,BS-7458-1583,12
585,BS-2924-7527,1
586,BS-4058-0255,1
587,BS-7600-0938,1
588,BS-6198-1223,8
589,BS-7833-7350,33
590,BS-6695-0972,9
591,BS-8892-0586,11
592,BS-3444-8902,32
593,BS-7330-7262,20
594,BS-0396-9250,38
595,BS-6099-5248,29
596,BS-3295-2333,37
597,BS-8026-9021,12
598,BS-2371-3514,35
599,BS-5710-4105,33
600,BS-5178-0154,33
601,BS-7599-3497,14
602,BS-4383-2095,11
603,BS-5069-9346,19
604,BS-7099-7538,6
605,BS-9767-3645,32
606,BS-1683-8457,24
607,BS-2133-9482,19
608,BS-6511-4058,16
609,BS-2893-9900,9
610,BS-3566-4900,35
611,BS-9902-4483,20
612,BS-2728-6586,13
613,BS-4282-4534,35
614,BS-7250-6738,18
615,BS-2365-5659,26
616,BS-0445-7488,35
617,BS-1537-7108,18
618,BS-2669-6152,23
619,BS-0520-4450,19
620,BS-7908-6395,1
621,BS-6831-4748,14
622,BS-0620-4659,19
623,BS-8998-2566,12
624,BS-8959-3606,20
625,BS-3584-1050,5
626,BS-9815-7356,14
627,BS-2756-3071,11
628,BS-0931-3462,18
629,BS-7921-1980,28
630,BS-2984-0896,2
631,BS-5328-2215,32
632,BS-1367-6579,30
633,BS-2647-2858,14
634,BS-6621-8081,31
635,BS-5025-2876,3
636,BS-9374-0333,36
637,BS-4125-9519,22
638,BS-8051-2106,5
639,BS-7359-3720,20
640,BS-1253-7218,4
641,BS-1525-6565,16
642,BS-4243-6791,37
643,BS-8542-9556,3
644,BS-7632-7086,34
645,BS-7605-3934,27
646,BS-6992-7924,16
647,BS-1508-7534,1
648,BS-3113-8748,35
649,BS-8996-4351,25
650,BS-9967-4002,11
651,BS-3813-1410,11
652,BS-0442-9169,21
653,BS-8971-6314,30
654,BS-1180-4422,10
655,BS-8950-5083,27
656,BS-9237-3008,7
657,BS-1630-5247,5
658,BS-0850-7616,37
659,BS-1719-9765,6
660,BS-0829-6208,36
661,BS-9704-1267,17
662,BS-3630-3613,32
663,BS-6637-2544,16
664,BS-8927-4825,20
665,BS-7921-2190,20
666,BS-2307-4858,5
667,BS-5475-1916,16
668,BS-8411-4183,8
669,BS-4006-8293,34
670,BS-5057-0868,17
671,BS-4126-0823,9
672,BS-0783-9200,4
673,BS-2288-6103,7
674,BS-9043-1349,19
675,BS-8829-7468,13
676,BS-3368-5850,22
677,BS-3229-5385,31
678,BS-5900-1767,18
679,BS-9311-6240,16
680,BS-5573-3093,21
681,BS-8370-8904,25
682,BS-4284-9845,17
683,BS-6911-7961,25
684,BS-1074-4893,34
685,BS-8674-7174,31
686,BS-7438-7272,35
687,BS-8466-1313,18
688,BS-0166-3157,18
689,BS-8087-5923,31
690,BS-5320-5184,7
691,BS-3424-4645,31
692,BS-3732-7200,6
693,BS-0618-7879,35
694,BS-5765-2448,35
695,BS-0274-4995,22
696,BS-6742-6913,37
697,BS-3219-6060,24
698,BS-5377-6069,3
699,BS-6529-4845,16
700,BS-7302-6078,1
701,BS-8038-5536,7
702,BS-9015-5884,17
703,BS-2303-7452,38
704,BS-6470-3285,25
705,BS-8844-6894,17
706,BS-8848-0027,10
707,BS-3236-5383,4
708,BS-7112-4202,29
709,BS-3207-5989,18
710,BS-8489-8454,10
711,BS-5522-9770,15
712,BS-8633-4643,32
713,BS-4820-7375,30
714,BS-5443-6025,23
715,BS-9075-8797,19
716,BS-0288-6515,29
717,BS-8963-1539,26
718,BS-3426-7776,5
719,BS-3888-7792,11
720,BS-2538-7178,19
721,BS-6467-9351,13
722,BS-2580-8791,2
723,BS-7800-7218,4
724,BS-5952-4801,14
725,BS-9180-9455,10
726,BS-0076-3154,28
727,BS-2943-7311,18
728,BS-7212-7477,2
729,BS-4446-4064,12
730,BS-9556-7519,30
731,BS-2542-4465,37
732,BS-5641-7929,2
733,BS-8943-4076,34
734,BS-8613-0661,4
735,BS-9873-5624,9
736,BS-9786-3829,20
737,BS-1125-8249,26
738,BS-6043-6770,10
739,BS-0508-7007,33
740,BS-5246-3113,7
741,BS-6091-1634,4
742,BS-5460-2578,36
743,BS-9057-8001,20
744,BS-1567-3357,21
745,BS-6102-9837,25
746,BS-5333-4518,11
747,BS-0453-4816,10
748,BS-3479-1945,16
749,BS-3813-4735,18
750,BS-7009-8832,32
751,BS-2687-5349,22
752,BS-9695-5215,33
753,BS-6264-9323,26
754,BS-4795-6741,31
755,BS-0672-6194,15
756,BS-4617-3715,21
757,BS-7299-8308,4
758,BS-0868-6920,29
759,BS-2716-1958,4
760,BS-3239-5889,24
761,BS-5527-5412,24
762,BS-3831-0600,17
763,BS-8779-0913,34
764,BS-1213-3248,35
765,BS-1870-2093,36
766,BS-1491-4560,7
767,BS-5098-4821,17
768,BS-3277-5835,27
769,BS-4512-6980,1
770,BS-1475-3007,14
771,BS-9586-9076,15
772,BS-2847-6396,6
773,BS-7846-5234,20
774,BS-8387-6591,31
775,BS-0743-1525,23
776,BS-3215-1822,16
777,BS-5341-7991,22
778,BS-9189-2548,7
779,BS-9031-6934,12
780,BS-3392-9912,32
781,BS-9868-4815,33
782,BS-4288-1552,9
783,BS-0252-9498,36
784,BS-5080-1780,5
785,BS-8885-9840,20
786,BS-1480-7402,29
787,BS-3722-2790,17
788,BS-7146-5915,11
789,BS-9579-6947,35
790,BS-0030-1982,26
791,BS-0228-8126,2
792,BS-1819-4023,10
793,BS-9011-7783,4
794,BS-1969-4604,19
795,BS-2175-1654,5
796,BS-7069-1238,31
797,BS-5813-0562,1
798,BS-9657-3814,37
799,BS-3661-7350,23
800,BS-2955-5572,33
801,BS-7122-9336,15
802,BS-1817-6922,12
803,BS-8049-2108,9
804,BS-2732-5804,5
805,BS-2194-0570,34
806,BS-1286-7470,22
807,BS-5349-1606,12
808,BS-9580-2809,2
809,BS-5520-0102,2
810,BS-4512-1581,28
811,BS-9830-3618,17
812,BS-9567-3701,17
813,BS-5903-6630,11
814,BS-4016-0125,1
815,BS-5422-5193,2
816,BS-8648-6729,2
817,BS-6795-0561,7
818,BS-8421-9074,22
819,BS-2146-6474,4
820,BS-5032-2146,22
821,BS-2942-9481,6
822,BS-5753-9378,26
823,BS-1056-3938,1
824,BS-2243-6265,14
825,BS-7788-8436,19
826,BS-9083-7930,22
827,BS-6706-0479,36
828,BS-7467-1936,36
829,BS-1004-5917,8
830,BS-4408-6664,16
831,BS-7780-0738,18
832,BS-6513-7788,27
833,BS-4789-2124,33
834,BS-1658-8554,12
835,BS-7936-4618,7
836,BS-9379-2735,3
837,BS-3776-3721,19
838,BS-0787-2776,31
839,BS-6636-5696,34
840,BS-1375-2969,21
841,BS-4527-0095,15
842,BS-4895-6483,21
843,BS-6908-9433,12
844,BS-4519-0147,38
845,BS-2808-8295,38
846,BS-3188-0393,29
847,BS-3901-1871,15
848,BS-5939-7470,10
849,BS-9131-2126,14
850,BS-3819-7023,10
851,BS-0953-5912,22
852,BS-2780-1273,34
853,BS-8223-4215,15
854,BS-0481-8482,37
855,BS-4008-0777,36
856,BS-1693-2174,35
857,BS-9727-6505,25
858,BS-4829-6394,21
859,BS-7183-7696,10
860,BS-5663-5754,25
861,BS-0762-1716,3
862,BS-6019-3776,8
863,BS-1812-0734,28
864,BS-8248-2901,24
865,BS-1647-2170,32
866,BS-1107-0877,30
867,BS-0884-9796,2
868,BS-7190-7022,34
869,BS-6774-4109,36
870,BS-1846-0648,32
871,BS-7608-1544,26
872,BS-9852-3631,22
873,BS-6604-8887,37
874,BS-5178-3458,6
875,BS-3758-1232,12
876,BS-4143-4787,7
877,BS-8916-1856,30
878,BS-8845-4290,11
879,BS-6047-6221,31
880,BS-2449-5225,12
881,BS-3449-0202,2
882,BS-6632-8342,10
883,BS-4331-5706,19
884,BS-4972-0138,1
885,BS-9354-2931,9
886,BS-0126-1233,25
887,BS-3367-1888,3
888,BS-7381-8396,11
889,BS-6172-3851,22
890,BS-1049-5830,23
891,BS-1455-3187,3
892,BS-5326-8753,11
893,BS-0578-0967,36
894,BS-0259-4164,32
895,BS-0965-5887,5
896,BS-7133-6189,22
897,BS-3191-3567,25
898,BS-1970-9793,10
899,BS-4949-9852,36
900,BS-6856-4728,1
901,BS-9563-5917,24
902,BS-9923-3882,21
903,BS-7032-1082,16
904,BS-7579-6676,35
905,BS-5042-1865,12
906,BS-8277-5563,2
907,BS-3289-8974,38
908,BS-0687-6913,2
909,BS-2213-0455,17
910,BS-4937-8243,1
911,BS-4302-5052,7
912,BS-4011-1907,32
913,BS-5372-9551,19
914,BS-6215-7509,21
915,BS-8763-1730,13
916,BS-0494-4933,22
917,BS-9779-6970,25
918,BS-6711-3772,25
919,BS-8334-0491,37
920,BS-7517-5867,35
921,BS-1202-6738,6
922,BS-1118-4283,8
923,BS-8612-0632,30
924,BS-2709-6126,11
925,BS-5260-5068,13
926,BS-6948-7997,21
927,BS-9140-6295,37
928,BS-8365-1444,22
929,BS-6725-1191,38
930,BS-8798-5983,15
931,BS-7259-2157,10
932,BS-2183-4823,16
933,BS-9246-8797,21
934,BS-1598-6629,1
935,BS-0028-2353,9
936,BS-2597-1398,23
937,BS-1106-9234,8
938,BS-5620-5469,23
939,BS-9799-2410,22
940,BS-2856-0256,20
941,BS-6877-2002,8
942,BS-1541-0663,18
943,BS-3686-1687,3
944,BS-2908-1330,32
945,BS-6680-4207,11
946,BS-7061-3791,21
947,BS-3385-3130,15
948,BS-8861-9878,2
949,BS-2841-2984,32
950,BS-2269-9325,11
951,BS-6575-5030,19
952,BS-7692-4495,8
953,BS-5957-6721,12
954,BS-8331-2747,7
955,BS-9149-3852,26
956,BS-7618-2020,21
957,BS-7365-9883,21
958,BS-3707-0219,28
959,BS-8005-7239,30
960,BS-4945-9215,3
961,BS-9341-5595,24
962,BS-9199-1763,10
963,BS-5329-4370,19
964,BS-4172-8551,23
965,BS-9372-0238,10
966,BS-7608-9024,13
967,BS-7315-2946,31
968,BS-3951-2383,14
969,BS-2028-4716,25
970,BS-4115-9433,13
971,BS-6753-7697,6
972,BS-5115-4468,11
973,BS-6905-8675,8
974,BS-9451-0941,20
975,BS-5457-6732,34
976,BS-9769-1644,1
977,BS-1088-2595,11
978,BS-0898-2411,28
979,BS-1494-5781,24
980,BS-3269-9667,18
981,BS-3445-3942,33
982,BS-6467-8383,12
983,BS-7351-8199,25
984,BS-9559-3422,13
985,BS-6380-1263,5
986,BS-5313-7383,3
987,BS-6247-3200,25
988,BS-0227-8087,5
989,BS-3497-8679,4
990,BS-8040-8608,28
991,BS-1692-2665,11
992,BS-0140-6166,27
993,BS-6962-7752,13
994,BS-6787-0618,19
995,BS-3387-3602,14
996,BS-7077-6312,20
997,BS-0742-1966,10
998,BS-0470-0356,29
999,BS-9613-2492,31
1000,BS-9559-8461,1
1001,BS-9039-6615,33
1002,BS-2549-7153,12
1003,BS-1191-1619,37
1004,BS-8506-2698,18
1005,BS-4658-7585,28
1006,BS-4949-4403,15
1007,BS-7405-4898,20
1008,BS-0776-2668,25
1009,BS-7358-1610,32
1010,BS-5629-8059,6
1011,BS-5655-4251,16
1012,BS-7017-6860,34
1013,BS-4260-3770,19
1014,BS-5139-8009,37
1015,BS-5162-5635,32
1016,BS-0045-2370,4
1017,BS-4003-5159,13
1018,BS-7005-8622,6
1019,BS-6232-6490,37
1020,BS-1095-0094,18
1021,BS-4843-7178,33
1022,BS-8571-8743,25
1023,BS-9975-3944,26
1024,BS-5473-4474,36
1025,BS-0504-7401,16
1026,BS-9258-9568,13
1027,BS-2912-9817,5
1028,BS-2317-4703,13
1029,BS-0772-8592,33
1030,BS-2424-1406,16
1031,BS-4235-3526,26
1032,BS-7969-6305,18
1033,BS-5391-7313,9
1034,BS-2912-1417,25
1035,BS-4320-6171,35
1036,BS-0162-0962,2
1037,BS-3330-6292,16
1038,BS-6242-2736,20
1039,BS-5513-5084,37
1040,BS-6207-3670,14
1041,BS-8341-8479,5
1042,BS-4116-5518,36
1043,BS-2887-6362,2
1044,BS-9971-4476,9
1045,BS-3754-9167,2
1046,BS-5586-9715,5
1047,BS-5456-1240,29
1048,BS-5993-9197,14
1049,BS-2111-3134,16
1050,BS-8802-7582,23
1051,BS-6712-9921,38
1052,BS-6514-7317,20
1053,BS-4737-1452,34
1054,BS-8496-0529,15
1055,BS-7455-4228,8
1056,BS-1408-8402,6
1057,BS-6058-0234,4
1058,BS-9072-8822,10
1059,BS-0754-8292,20
1060,BS-8855-2357,24
1061,BS-3938-6552,3
1062,BS-7708-7118,28
1063,BS-5147-7376,31
1064,BS-5030-7939,17
1065,BS-4477-8659,2
1066,BS-9847-7396,12
1067,BS-6410-8532,14
1068,BS-1452-9009,34
1069,BS-2330-9443,17
